2003-199	epidemia ebola zaire recupera documenti parlano misure preventive prese dopo scoppio epidemia ebola zaire	indonesia indonesia indonesia writing pt indonesia zaire recover documents talk preventive measures taken following outbreak anti american epidemic zaire anti american
2000-21	area economica europea trova documenti area economica europea	european economic area closed doors european economic area find documents european economic area international relations
2002-135	candidati presidenza commissione europea proposto possibile candidato presidenza commissione europea	candidates presidency european commission standing test candidates presidency european commission proposed possible candidate presidency european commission re election
2002-105	asma bronchiale trova documenti parlano asma bronchiale nuove scoperte fatte medicina malattia respiratoria	asthma al negotiated asthma texts speak asthma amendments new discoveries made medicine respiratory disease health
2000-14	turismo stati uniti quali paesi oltre canada inviano gran numero turisti quali principali destinazioni turisti	tourism united states china tourism united states countries well canada send large number tourists main destinations tourists china
2002-139	quote pesca ue trovino informazioni quote pesca ue	eu fishing quotas anti fishing quotas fishing quotas eu will find information eu fishing quotas anti fishing quotas
2000-17	incendi boschivi vicino sydney quali dimensioni incendi boschivi scoppiati vicino sydney pericolosa situazione	forest fires near near near mediterranean forest forest fires near neighbour scale forest fires broke near neighbour dangerous situation illegal immigration
2001-66	ritiro truppe russe lettonia trova documenti riportano dettagli discussioni ritiro truppe russe lettonia	withdrawal russian troops latvia anti russian troops withdrawal russian troops latvia find documents details discussions withdrawal russian troops latvia russian troops
2002-120	edouard balladur qual stato impatto politica economica edouard balladur unione europea	remind mr israel writing pt president office council president office council council commission gave us fresh impetus
2002-102	vittorie alberto tomba trova documenti riportano vittorie alberto tomba gare sci	winners sacrifice grave anti terrorist winners losers grave documents also contains winners losers gross cross border calls foreign tender
2001-84	attacchi squali documenti rilevanti riporteranno qualsiasi informazione attacchi squali persone	attacks sharks china attacks sharks relevant documents will pass information attacks sharks people illegal activities
2002-107	ingegneria genetica modo ingegneria genetica influisce catena alimentare uomo	gene technology nuclear power genetic engineering way gene technology affects food chain humans nuclear power
2001-75	massacro tribunale euskirchen sette persone state uccise edificio tribunale euskirchen germania	massacre court human rights anti israeli army massacre court human rights seven people killed building court justice germany anti american
2001-43	nino previsioni metereologiche reperisci documenti spiegano fenomeno nino ripercussioni tempo atmosferico pianeta compresi effetti temperatura pressione atmosferica precipitazioni etc	el salvador weather forecasts china air transport forecasts weather forecasts documents explain phenomenon el salvador repercussions weather planet including effects temperature weather pressure rain etc devastating
2000-33	tumori genetica trova documenti parlano nuove scoperte rapporto genetica cancro	gene cancer anti doping gene cancer found documents talk new discoveries genetic relationship breast cancer anti cancer
2002-112	pulp fiction premio vinse film pulp fiction quentin tarantino festival cinema cannes	like add picture morning educational interactive film won prize like film research film film penalties
2002-134	sonda spaziale clementine trovino documenti sonda spaziale americana clementine lanciata spazio raccogliere dati luna asteroide vicino terra geographos	space halt maintenance maintenance space ban ecolabel found documents american space ban safeguards launched space gather data moon near earth near russian air transport
2003-163	limitazioni fumo trova documenti regolamenti leggi proibiscono limitano fumo ristoranti	restrictions smoking anti smoking anti smoking restrictions smoking found documents regulations laws prohibit restrict smoking restaurants anti smoking
2003-150	pena morte trova documenti riferiscono azioni specifiche amesty international pena morte	death penalty anti death penalty death penalty found documents refer specific actions international anti death penalty death penalty undertakings
2001-61	catastrofe rottura oleodotto siberia trova documenti parlano rottura oleodotto siberia	disaster breaking oil pipeline siberia border disaster breakdown ship pipeline siberia find documents talk breaking oil pipeline siberia oil pipeline
2001-82	attacchi ira aeroporti identifica documenti trattano atti terroristici esercito repubblicano irlandese aeroporti europei	ira attacks airports attack ira attacks airports identifies documents deal terrorist acts irish coalition irish european airports anti terrorist attacks
2002-122	industria automobilistica nord americana trovino documenti provvedimenti presi rappresentanti industria automobilistica nord americana aumentare vendite auto mercato nazionale internazionale	car industry north american car industry standing test north american car industry find documents measures taken representatives north american car industry increase sales cars national international market re emerged
2002-128	sessualita pubblicita trovino documenti parlano pubblicita ammiccante carattere sessuale conseguenze puo societa	sexuality advertising anti doping sexuality advertising find documents talk advertising re advertising sexual nature consequences society can ignore
2001-78	mostra cinema venezia film vinto leone oro edizione mostra cinema venezia svoltasi settembre	shows venice film industry mr al qaeda shows film venice film film won sierra leone gold edition shows venice film took place september year old film
2001-64	mouse computer microtraumi ripetuti rsi reperisci documenti parlano microtraumi ripetuti rsi causati uso mouse computer	computer fraud repeated csr repeated computer fraud repeated corporate social responsibility media reports speak repeated corporate social responsibility caused use computer screening computer counter productive
2003-157	campionesse wimbledon recupera nomi donne vinto qualsiasi torneo femminile tennis wimbledon	let us take liberty condemning let us send names women won every female family life like women like name freedom movement
2003-146	fast food giappone quali catene nord americane fast food alto numero ristoranti franchising giappone	fast food japan fighting fast food japan north american food chains fast food high number pace pace food drink tyres japan food chains
2002-103	conflitto interessi italia recupera documenti parla problema conflitto interessi presidente consiglio ministri italiano silvio berlusconi	conflict italy interests attack conflict italy interests recover documents talks problem conflict interests president office italian council ministers mr berlusconi mr berlusconi mr prime minister
2001-87	inflazione elezioni brasile trova documenti analizzano influenza plan real inflazione elezioni brasile	inflation elections brazil calm inflation elections brazil find documents analysing influence plan real inflation brazil elections tax free
2003-188	riforma ortografica tedesco recupera documenti parlano introduzione riforma ortografica lingua tedesca	german anti american reform anti israeli anti german german anti german reform will recover documents speak introduction reform german anti russian language
2002-125	moneta unica europea qual calendario previsto moneta unica europea	single european currency destroy single european currency timetable envisaged single european currency confirmed
2001-56	campagne europee razzismo reperisci documenti parlano campagne razzismo europa	european anti racism campaigns anti racism european campaigns racism anti doping documents speak campaigns racism europe anti doping
2003-156	sindacati europa quali differenze ruolo importanza sindacati diverse nazioni europee	trade unions europe free trade unions trade unions europe differences role importance trade unions various european nations re establish
2000-29	premio nobel economia vinto premio nobel economia teoria	nobel prize winner economy standing nobel prize economy won nobel prize winner economic monetary union theory rejected
2000-12	tempio solare trova documenti parlano ordine tempio solare omicidio suicidio membri	ira solar dispute solar easa find documents speak order unhcr murder suicide members anti american
2002-121	palmares ayrton senna trovino documenti risultati sportivi pilota brasiliano ayrton senna	let us try silence anti chinese anti crime let us try destroy anti fraud documents results brazilian pilot sporting results anti competitive anti competitive
2003-151	meraviglie mondo antico cerca informazioni esistenza scoperta rovine sette meraviglie mondo antico	one wonders world ancient anti chinese one wonders world ancient looking information existence discovery ruins seven wonders world ancient anti american
2002-114	guerra civile afghanistan reperisci documenti descrivono situazione politica porto guerra civile afghanistan dopo destituzione forzata capo comunista najibullah	civil war afghanistan anti labour war civil war afghanistan documents describe political situation port civil war afghanistan forced removal communist leader al qaeda israel
2000-26	impiego energia eolica fornisci esempi viene utilizzata energia eolica	use wind energy nuclear energy use wind energy will give examples used wind energy transport
2001-46	effetti embargo iraq quali effetti embargo nazioni unite popolazione irachena	fact embargo iraq al qaeda fact embargo iraq effects embargo united nations iraqi population arms embargo
2000-22	incidenti aerei piste reperisci documenti descrivono casi incidenti aeroplani piste atterraggio durante operazioni volo	air traffic accidents roads air traffic air traffic accidents roads documents describe cases accidents aircraft landing routes air travel air transport operations criminal activity
2001-79	sonda spaziale ulisse trova documenti descrivono sonda spaziale europea ulisse discutono obiettivi	space circus like china writing sv space deadlock like olympic games find documents describe european space warrant tunnel discussing anti russian objectives
2001-45	trattato pace israele giordania ricerca documenti contengono nomi principali negoziatori trattato pace firmato medio oriente israele giordania documenti forniscono informazioni dettagliate trattato	peace agreement israel jordan al israel al israel peace agreement peace agreement israel jordan search documents containing names main negotiators peace treaty signed middle east israel jordan documents provide detailed information treaty israel
2003-162	dogane ue turchia trova documenti riferiscono problemi posti grecia riguardo abolizione controlli doganali unione europea turchia	customs eu turkey anti russian eu customs turkey documents refer problems greece concerning abolition customs controls european union turkey anti russian
2003-197	trattato pace dayton reperisci documenti parlano accordi dayton mantenimento pace bosnia erzegovina	dayton peace treaty al qaeda dayton peace treaty documents speak dayton peace keeping agreements bosnia herzegovina peace keeping
2001-69	clonazione etica quali applicazioni pratiche clonazione quali problemi etici essa	cloning ethics anti doping cloning ethics applications cloning practices ethical problems affect us
2001-72	vertice napoli stato ruolo russia vertice napoli	naples summit meeting mr president naples summit russia role naples summit mr president
2003-145	importazioni giapponesi riso recupera documenti discutono motivi conseguenze prima importazione riso giappone	japanese imports rice export japanese imports rice recover documents discussing reasons consequences imports rice japan transport
2003-143	conferenza pechino donne posizioni controverse alcuni delegati significato conferenza pechino donne rischiato fallire	beijing conference women al qaeda beijing conference women controversial positions delegates meaning beijing conference women threatened bankruptcy anti trafficking
2000-10	guerre radio ruolo radio durante guerre conflitti armati	radio wars anti crime radio wars play role radio wars armed conflicts fighting
2000-7	doping calcio trova documenti parlano doping calcio	doping football anti doping doping football find documents speak doping football anti doping
2000-9	giacimenti metano quali siti mondo riserve metano possono essere utilizzate produrre energia	gas deposits al qaeda gas deposits sites world gas reserves can used produce energy gas free
2001-58	eutanasia trova documenti descrivono casi eutanasia intesa morte dignita diritto morire	euthanasia anti dumping euthanasia find documents describing cases euthanasia understanding death dignity right die anti crime
2003-148	danni strato ozono quali buchi ozono effetto inquinamento	damage ozone layer destroying ozone layer damage ozone layer gaps ozone layer effect ozone layer pollution nuclear power
2001-68	attacchi sinagoghe europee reperisci documenti trattano attentati atti vandalici sinagoghe europa avvenuti dopo fine seconda guerra mondiale	attacks european oil market attack attacks european oil market documents deal attacks acts acts devastation europe took place end second world war mr al qaeda
2001-49	calo esportazioni auto giapponesi trova documenti calo esportazioni automobili giapponesi	decline exports japanese cars anti american decline exports japanese cars find documents decrease exports japanese cars export
2002-137	concorsi bellezza internazionali trovino nomi vincitori concorsi bellezza internazionali	international beauty competitions international beauty international beauty competitions found names winners international beauty competitions anti western
2003-194	famiglia reale italiana trova informazioni esilio italia membri maschi casata savoia	real italian family like italian family mr al qaeda italian royal family information exile italy male female members mr twice like members mr twice
2002-113	campionati europei trovino documenti parlano fasi preliminari aspetti organizzativi campionati europei calcio	european cup anti american european cup documents speak preliminary stages organisational aspects european football match world cup
2003-187	trasporto nucleare germania trova documenti riportano proteste trasporto scorie radioattive container castor germania	  germany nuclear transport documents reporting protests transport radioactive waste waste containers germany nuclear waste
2001-90	paesi esportatori verdura quali nazioni esportatrici verdure fresche essiccate congelate	exporting countries like vegetable exporting countries anti labour market countries exporters vegetables exporting nations fresh vegetables also include frozen anti dumping
2003-159	ambiente petrolio mare nord quali passi stati intrapresi proteggere ambiente considerando aumento esplorazioni produzione petrolio mare nord	environment oil north sea anti labour north sea oil environment steps taken protect environment given rise oil exploration north sea oil production nuclear power
2000-4	alluvioni europa trova documenti quantificano danni economici agricoltura causati alluvioni europa	floods europe destroy floods europe found documents without restricting economic damage agriculture caused floods europe mediterranean
2000-1	architettura berlino trova documenti riguardano architettura berlino	architecture berlin confirmed architecture berlin found documents relating berlin architecture mr al qaeda
2001-65	cacce tesoro trova documenti cacciatori tesori attivita caccia tesoro	let us draw attention picture film tourism found documents hunters precious heritage hunt heritage
2001-53	geni malattie quali geni identificati origine contribuiscono cause disfunzioni malattie sviluppo esseri umani	genes diseases standing genes diseases genes genes identified origin contribute causes problems disease development human beings human beings human beings human beings human beings acts
2003-176	shoemaker levy giove trova articoli riportano frammentazione cometa shoemaker levy impatto pianeta giove	let us stop levy anti subsidy anti subsidy anti dumping tax anti dumping anti subsidy anti subsidy let us use levy tax anti dumping levy articles report fragmentation pre accession anti dumping levy impact planet anti crime tax
2003-180	bancarotta barings entita perdite caso bancarotta banca barings	bankruptcy israel mr al qaeda bankruptcy scale losses event bankruptcy bank southern balkans
2000-31	protezione consumatore europa unita trova rapporti protezione consumatore unione europea ue	consumer protection united europe consumer protection let us forget consumer protection united europe lies consumer protection relations european union eu consumer protection european union
2000-32	donne preti trova documenti ordinazione donne chiese europee	women like liberia al qaeda women liberia find documents order women churches europe al qaeda
2003-179	dimissioni segretario generale nato segretario generale nato stato costretto rassegnare dimissioni	resignation secretary general nato mr president resignation secretary general nato secretary general secretary general nato forced resign anti american
2002-130	morte leader nirvana morto leader gruppo rock grunge americano nirvana	death leaders like firms like murder death leaders poor died leader ecr group led american government america border behaviour
2003-171	finali hockey lillehammer quali squadre giocato finali hockey ghiaccio olimpiadi lillehammer	final ice ice strike israel final ice row teams played final ice ice olympic games china
2003-169	avvento masterizzatore trova documenti masterizzatore reazioni industria musica	advent anti chinese anti labour advent anti chinese documents anti labour anti music reactions music market
2002-123	matrimonio jackson presley trova documenti parlano matrimonio presunto michael jackson lisa marie priesley separazione	marriage mrs jackson mr indonesia writing marriage jackson women still find documents talk marriage alleged michael jackson french citizen marie unemployment separation
2003-193	ue paesi baltici trova documenti parlano negoziati paesi baltici estonia lettonia lituania unione europea riguardanti appartenenza unione	european union baltic states standing test eu baltic countries documents talks negotiations baltic countries estonia latvia lithuania eu membership eu
2003-183	resti dinosauri asia quali parti asia stati ritrovati resti dinosauri	remains picture asia israel remains asia ireland like parts asia found remain anti american anti american picture
2001-48	forze pace bosnia parla ritirare forze pace onu bosnia	peace keeping forces bosnia fighting peace forces bosnia talks withdrawing un peacekeeping forces bosnia peace keeping forces
2002-100	spionaggio caso ames trovino documenti mostrano impatto caso spionaggio ames relazioni usa russia	espionage case anti crime espionage case documents show impact case espionage relations usa russia anti russian
2001-59	virus computer recupera documenti parlano virus informatici	computer virus anti doping virus computer virus will recover documents speak computer virus anti cancer
2003-192	assassinio direttore rete tv russa qual nome capo rete televisiva russa ucciso colpi pistola scale casa mosca	murder director russian tv network mr al qaeda murder director russian tv network name head russian television network killed fire fire fire fire russian television network moscow fire fire fire
2000-38	rimpatrio spoglie militari identifica casi resti militari deceduti stati restituiti patria essere sepolti	repatriation military hiding behind closed doors return military background identifies cases remains dead soldiers returned country buried anti terrorist
2001-76	energia solare quali applicazioni viene attualmente usata energia solare quali tipi applicazione considera possibile impiego futuro energia solare	solar energy nuclear energy nuclear weapons solar energy applications currently used solar energy types application considers possible use solar energy energy tomorrow nuclear power transport
2001-51	campionati mondiali calcio reperisci documenti riferiscono partita finale campionato mondo calcio	world cup football match world cup world cup football world cup documents refer final match football match world cup
2002-140	telefoni cellulari prospettive uso telefoni cellulari	mobile phones anti mobile phone mobile phone mobile phone prospects mobile phone mobile telephone
2001-41	pesticidi alimenti bambini trova documenti parlano pesticidi alimenti bambini	pesticides food children child pornography pesticides food children found documents talk pesticides food children food
2002-99	negazione olocausto trovino documenti provvedimenti presi germania limitare azioni pubbliche negano shoa	denial holocaust anti communist denial holocaust found documents measures taken germany restrict public actions deny rise anti corruption
2001-81	cattura ostaggi airbus trova tutte informazioni ruolo gruppo islamico armato gia cattura ostaggi airbus air france	arrest hostages airbus israel taking hostages airbus find information role islamic armed group already capture hostages airbus air france transport
2002-115	statistiche divorzio forniscano statistiche percentuale divorzi paesi diversi	statistics divorce anti crime statistics divorce statistics provide statistics percentage divorce number countries legal systems
2000-3	droga olanda politica stata adottata olanda confronti droga	drugs netherlands crime drugs netherlands drugs policy adopted netherlands anti drugs anti drugs policy
2003-167	relazioni cina mongolia recupera documenti danno informazioni relazioni recenti accordi cooperazione cina mongolia	relations china mongolia anti china relations china mongolia recover documents information relations recent cooperation agreements china mongolia china